name,num studies,num activations
ventral premotor,185,8783
ventral striatum,415,12989
ventral tegmental,75,2965
ventral visual,132,4494
ventrolateral,463,18976
ventrolateral prefrontal,314,11411
ventromedial,437,15051
ventromedial prefrontal,333,12062
verb,127,5079
verbal,729,26713
verbal fluency,84,2534
verbal working,99,3730
verbs,107,4518
vermis,83,3997
vi,76,4221
video,190,8448
video clips,90,4165
videos,104,4619
viewing,463,16803
violations,79,2592
virtual,160,6771
vision,137,5632
visual,3110,115726
visual attention,124,4388
visual auditory,165,6481
visual cortex,488,16214
visual cortices,81,3075
visual field,93,2465
visual information,139,4656
visually,333,14885
visually presented,102,4373
visual motion,76,2909
visual perception,83,2934
visual stimuli,270,8526
visual stimulus,84,2692
visual stream,80,2956
visual word,117,5020
visuo,150,6529
visuomotor,153,5522
visuospatial,267,10517
visuo spatial,75,3268
vlpfc,151,5004
vmpfc,199,6971
vocal,87,3838
voice,121,4353
vs,865,31899
vulnerability,188,5212
watching,75,3003
wm,339,13110
wm task,98,3498
word,944,36501
word form,93,3874
word pairs,74,2537
word recognition,87,2997
words,948,38353
working,1126,41359
working memory,1091,39905
written,129,5166
